timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-03-04 13:04:04,2024-03-04 13:04:29,131.173.23.81,v4,0,250,66.216,134.059,42.999,19.356,35.9948329839832
2024-03-04 13:05:00,2024-03-04 13:05:25,131.173.23.81,v4,0,250,67.919,130.284,43.451,17.132,12.0275437365332
2024-03-04 13:05:55,2024-03-04 13:06:20,131.173.23.81,v4,0.4,250,57.553,118.203,46.636,9.748,0
2024-03-04 13:07:18,2024-03-04 13:07:43,131.173.23.81,v4,0,250,62.958,189.983,43.764,14.575,0
2024-03-04 13:08:14,2024-03-04 13:08:39,131.173.23.81,v4,0.4,250,53.036,115.935,45.566,6.232,0
2024-03-04 13:09:09,2024-03-04 13:09:34,131.173.23.81,v4,0.4,250,51.154,121.528,43.014,6.598,0
2024-03-05 05:14:36,2024-03-05 05:15:01,131.173.23.81,v4,0,250,54.081,98.382,43.812,7.143,0
2024-03-05 05:15:54,2024-03-05 05:16:19,131.173.23.81,v4,1.6,250,60.04,123.291,43.229,11.003,12.639564246795
2024-03-05 05:16:50,2024-03-05 05:17:15,131.173.23.81,v4,0.4,250,57.081,282.076,43.391,18.368,29.0811053140446
2024-03-05 05:17:45,2024-03-05 05:18:10,131.173.23.81,v4,0.4,250,52.124,73.386,43.642,5.506,22.0536577059657
2024-03-05 05:18:41,2024-03-05 05:19:06,131.173.23.81,v4,2.4,250,59.989,149.295,47.323,9.437,31.7188867227326
2024-03-05 05:19:36,2024-03-05 05:20:01,131.173.23.81,v4,1.6,250,55.547,122.783,43.67,10.806,34.9187617233688
2024-03-05 05:20:32,2024-03-05 05:20:57,131.173.23.81,v4,0,250,53.699,81.961,43.79,6.905,43.106738648089
2024-03-05 05:23:05,2024-03-05 05:23:30,131.173.23.81,v4,0.4,250,57.93,142.996,46.587,9.743,27.0102599447178
2024-03-05 05:24:01,2024-03-05 05:24:26,131.173.23.81,v4,1.6,250,59.287,189.95,51.643,9.822,0
2024-03-05 05:25:05,2024-03-05 05:25:30,131.173.23.81,v4,0.8,250,73.876,183.149,45.144,17.063,0
2024-03-05 05:26:02,2024-03-05 05:26:27,131.173.23.81,v4,5.2,250,59.793,198.105,47.211,12.702,0
2024-03-05 05:27:20,2024-03-05 05:27:45,131.173.23.81,v4,1.2,250,62.164,155.443,45.04,11.959,0
2024-03-06 07:01:13,2024-03-06 07:01:38,131.173.23.81,v4,38.8,250,58.584,75.821,46.656,6.799,0
2024-03-06 07:02:32,2024-03-06 07:02:57,131.173.23.81,v4,0.4,250,59.907,88.314,0,7.627,3.04961644707466
2024-03-06 07:03:28,2024-03-06 07:03:53,131.173.23.81,v4,9.6,250,76.568,317.188,51.796,26.267,25.1599775248564
2024-03-06 07:04:24,2024-03-06 07:04:49,131.173.23.81,v4,0,250,55.003,120.726,43.003,8.874,23.2075415552553
2024-03-06 07:05:19,2024-03-06 07:05:44,131.173.23.81,v4,11.2,250,55.149,112.935,43.915,8.385,9.44809797254167
2024-03-06 07:06:25,2024-03-06 07:06:50,131.173.23.81,v4,7.2,250,68.398,268.996,51.646,26.536,20.1179281734043
2024-03-06 07:07:28,2024-03-06 07:07:53,131.173.23.81,v4,2,250,65.378,190.817,51.664,15.352,21.5382611973794
2024-03-06 07:09:03,2024-03-06 07:09:28,131.173.23.81,v4,1.6,250,63.974,183.804,50.555,11.701,35.5087790985201
2024-03-06 07:10:22,2024-03-06 07:10:47,131.173.23.81,v4,4,250,56.658,200.741,42.245,12.347,26.9967033119241
2024-03-06 07:11:18,2024-03-06 07:11:43,131.173.23.81,v4,0.4,250,63.525,82.929,52.902,6.135,19.835923221886
2024-03-06 07:12:14,2024-03-06 07:12:39,131.173.23.81,v4,0,250,58.833,162.038,45.618,9.607,27.122608899826
2024-03-06 07:13:09,2024-03-06 07:13:34,131.173.23.81,v4,3.2,250,55.827,160.755,46.494,10.458,51.5157298946707
2024-03-06 07:14:05,2024-03-06 07:14:30,131.173.23.81,v4,0,250,64.005,115.915,51.636,7.536,0
2024-03-06 07:15:01,2024-03-06 07:15:26,131.173.23.81,v4,1.2,250,65.659,94.471,49.767,8.228,26.1371689760292
2024-03-06 07:16:18,2024-03-06 07:16:43,131.173.23.81,v4,0,250,50.4,74.228,43.64,4.988,35.0053694203004
2024-03-06 07:17:13,2024-03-06 07:17:38,131.173.23.81,v4,1.6,250,50.709,118.428,43.694,8.84,55.3112060687791
2024-03-06 07:18:09,2024-03-06 07:18:34,131.173.23.81,v4,1.6,250,64.206,161.069,42.488,17.015,5.25322826386547
2024-03-06 07:19:04,2024-03-06 07:19:29,131.173.23.81,v4,0,250,50.861,129.86,43.548,6.784,26.2551969638453
2024-03-06 07:19:59,2024-03-06 07:20:24,131.173.23.81,v4,0.4,250,52.17,131.624,43.594,8.91,19.1163420357258
2024-03-06 07:20:55,2024-03-06 07:21:20,131.173.23.81,v4,3.2,250,59.983,198.46,43.34,15.523,19.7612938240855
2024-03-06 07:23:09,2024-03-06 07:23:34,131.173.23.81,v4,0.4,250,49.15,107.126,43.594,5.841,0
2024-03-06 07:24:04,2024-03-06 07:24:29,131.173.23.81,v4,0,250,55.915,168.55,43.402,10.353,1.94014980913866
2024-03-06 07:24:59,2024-03-06 07:25:24,131.173.23.81,v4,0.4,250,50.337,106.078,42.928,5.657,0
2024-03-06 07:25:55,2024-03-06 07:26:20,131.173.23.81,v4,0.4,250,51.833,127.764,43.506,8.109,0
2024-03-06 07:26:50,2024-03-06 07:27:15,131.173.23.81,v4,0,250,52.26,79.587,42.662,5.91,0
2024-03-06 07:28:09,2024-03-06 07:28:34,131.173.23.81,v4,0.4,250,55.373,123.692,43.627,14.469,0
2024-03-06 08:59:32,2024-03-06 08:59:57,131.173.23.81,v4,0.4,250,58.386,101.879,42.783,8.018,6.61913531987429
2024-03-06 09:00:51,2024-03-06 09:01:16,131.173.23.81,v4,0,250,64.076,94.913,46.721,9.027,2.06824478496109
2024-03-06 09:01:46,2024-03-06 09:02:11,131.173.23.81,v4,0.4,250,53.215,78.583,43.542,7.237,4.39664783629789
2024-03-06 09:02:42,2024-03-06 09:03:07,131.173.23.81,v4,0.8,250,54.727,89.499,44.265,7.101,40.5112282683793
2024-03-06 09:03:38,2024-03-06 09:04:03,131.173.23.81,v4,4.4,250,73.098,463.999,43.455,38.843,0
